task,C1_mean,C1_std,C2_mean,C2_std,C3_mean,C3_std,C4_mean,C4_std,CGG_ling,CGG_vis,CGG_full
T0: btw plate & ramekin,0.467,0.058,0.444,0.051,0.433,0.289,0.467,0.208,0.022,0.033,-0.0
T1: next to ramekin,0.0,0.0,0.044,0.019,0.133,0.153,0.067,0.115,-0.044,-0.133,-0.067
T2: table center,0.5,0.1,0.433,0.033,0.367,0.321,0.333,0.306,0.067,0.133,0.167
T3: on cookie box,0.9,0.0,0.844,0.019,0.533,0.462,0.467,0.404,0.056,0.367,0.433
T4: cabinet drawer,0.067,0.115,0.167,0.033,0.0,0.0,0.033,0.058,-0.1,0.067,0.033
T5: on ramekin,0.067,0.058,0.122,0.096,0.367,0.153,0.3,0.1,-0.056,-0.3,-0.233
T6: next to cookie box,0.6,0.173,0.689,0.038,0.3,0.361,0.333,0.351,-0.089,0.3,0.267
T7: stove,0.4,0.2,0.433,0.033,0.2,0.1,0.133,0.115,-0.033,0.2,0.267
T8: next to plate,0.133,0.153,0.156,0.051,0.2,0.1,0.167,0.153,-0.022,-0.067,-0.033
T9: wooden cabinet,0.067,0.058,0.1,0.033,0.0,0.0,0.0,0.0,-0.033,0.067,0.067
